action_id,incident_id,root_cause,corrective_action,responsible_department,action_start_date,action_end_date,action_status,recurrence_after_action
31,88,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2023-01-30,2023-04-07,Completed,False
32,89,Assembly tool wear,Replace worn tools and add tool maintenance schedule,Production,2023-02-02,2023-02-23,Completed,False
33,92,Insufficient process control,Introduce statistical process control on the line,Production,2023-02-04,2023-03-16,Completed,False
34,94,Incorrect assembly sequence,Update work instructions and assembly sequence,Quality Assurance,2023-02-07,2023-03-28,Completed,False
35,97,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Quality Assurance,2023-02-04,2023-03-04,Completed,False
36,99,Incorrect assembly sequence,Update work instructions and assembly sequence,Production,2023-02-08,2023-02-26,Completed,False
37,101,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Quality Assurance,2023-02-06,2023-03-27,Completed,False
38,102,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2023-02-06,2023-03-09,Completed,False
39,103,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2023-02-08,2023-03-12,Completed,True
40,104,Corrosion due to coating defect,Improve coating process and add corrosion test,Supplier Quality,2023-02-05,2023-03-29,Completed,True
41,106,Machine calibration drift,Recalibrate equipment and update process control plan,Production,2023-02-07,2023-03-05,Completed,False
42,108,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2023-02-12,2023-03-25,Completed,False
43,109,Incorrect assembly sequence,Update work instructions and assembly sequence,Production,2023-02-07,2023-04-06,Completed,False
44,110,Operator training gap,Retrain operators and add in-line inspection,Production,2023-02-10,2023-04-04,Completed,False
45,111,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2023-02-10,2023-03-25,Completed,True
46,116,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2023-02-12,2023-05-12,Completed,False
47,118,Root cause not identified,Extended monitoring and data collection,Quality Assurance,2023-02-08,2023-03-23,Completed,False
48,125,Incorrect torque settings,Correct torque specification and add torque monitoring,Production,2023-02-12,2023-03-06,Completed,True
49,129,Insufficient process control,Introduce statistical process control on the line,Production,2023-02-13,2023-04-07,Completed,True
50,133,Operator training gap,Retrain operators and add in-line inspection,Production,2023-02-14,2023-03-02,Completed,False
51,135,Machine calibration drift,Recalibrate equipment and update process control plan,Production,2023-02-12,2023-03-25,Completed,False
52,136,Incorrect assembly sequence,Update work instructions and assembly sequence,Quality Assurance,2023-02-18,2023-04-03,Completed,False
53,138,Substandard raw material,Change material specification,Supplier Quality,2023-02-12,2023-04-18,Completed,True
54,140,Tolerance stack-up in design,Revise tolerances in the design drawings,Design Engineering,2023-02-15,2023-05-10,Completed,False
55,153,Incorrect torque settings,Correct torque specification and add torque monitoring,Production,2023-02-24,2023-04-17,Completed,True
56,154,Missing or unclear work instruction,Rewrite work instructions with photos,Production,2023-02-23,2023-04-14,Completed,False
57,158,Substandard raw material,Change material specification,Quality Assurance,2023-02-26,2023-04-20,Completed,True
58,160,Operator training gap,Add poka-yoke check at the assembly station,Production,2023-02-21,2023-04-09,Completed,False
59,164,Tolerance stack-up in design,Revise tolerances in the design drawings,Design Engineering,2023-02-23,2023-05-24,Completed,False
60,170,Tolerance stack-up in design,Revise tolerances in the design drawings,Design Engineering,2023-02-25,2023-05-22,Completed,False
61,172,Software logic flaw,Release a software update,Design Engineering,2023-02-24,2023-06-12,Completed,False
62,173,Missing or unclear work instruction,Rewrite work instructions with photos,Quality Assurance,2023-02-24,2023-04-17,Completed,True
63,174,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2023-03-01,2023-04-19,Completed,False
64,177,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2023-02-27,2023-05-28,Completed,False
65,178,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2023-02-26,2023-04-22,Completed,False
66,184,Insufficient process control,Introduce statistical process control on the line,Production,2023-03-02,2023-04-18,Completed,False
67,188,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2023-02-27,2023-04-08,Completed,False
68,191,Heat treatment deviation,Require heat treatment certificates from supplier,Quality Assurance,2023-03-08,2023-04-19,Completed,False
69,193,Improper use by customer,Update owner manual and customer communication,Customer Service,2023-03-03,2023-03-13,Completed,False
70,196,Supplier process deviation,Issue supplier corrective action request (SCAR),Quality Assurance,2023-03-07,2023-04-28,Completed,False
71,198,Machine calibration drift,Recalibrate equipment and update process control plan,Production,2023-03-03,2023-04-01,Completed,False
72,202,Machine calibration drift,Recalibrate equipment and update process control plan,Quality Assurance,2023-03-09,2023-04-06,Completed,True
73,203,Root cause not identified,Extended monitoring and data collection,Quality Assurance,2023-03-06,2023-04-26,Completed,False
74,214,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2023-03-11,2023-04-26,Completed,False
75,215,Substandard raw material,Change material specification,Quality Assurance,2023-03-10,2023-04-01,Completed,False
76,217,Machine calibration drift,Recalibrate equipment and update process control plan,Production,2023-03-15,2023-04-22,Completed,True
77,218,Supplier process deviation,Issue supplier corrective action request (SCAR),Quality Assurance,2023-03-15,2023-05-01,Completed,False
78,220,Heat treatment deviation,Require heat treatment certificates from supplier,Supplier Quality,2023-03-14,2023-05-02,Completed,False
79,225,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2023-03-16,2023-06-07,Completed,False
80,227,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2023-03-15,2023-05-03,Completed,False
81,228,Corrosion due to coating defect,Improve coating process and add corrosion test,Quality Assurance,2023-03-11,2023-05-04,Completed,False
82,229,Heat treatment deviation,Require heat treatment certificates from supplier,Supplier Quality,2023-03-20,2023-06-14,Completed,False
83,230,Missing or unclear work instruction,Rewrite work instructions with photos,Production,2023-03-17,2023-04-08,Completed,True
84,231,Software logic flaw,Release a software update,Design Engineering,2023-03-21,2023-08-02,Completed,False
85,235,Insufficient design margin,Raise design margin through an engineering change,Design Engineering,2023-03-20,2023-07-19,Completed,False
86,236,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2023-03-18,2023-05-10,Completed,False
87,237,Corrosion due to coating defect,Improve coating process and add corrosion test,Supplier Quality,2023-03-16,2023-04-16,Completed,False
88,239,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2023-03-21,2023-05-11,Completed,True
89,242,Improper use by customer,Update owner manual and customer communication,Customer Service,2023-03-19,2023-03-24,Completed,True
90,245,Material fatigue under load,Switch to a higher grade material,Quality Assurance,2023-03-24,2023-04-24,Completed,False
91,246,Incorrect torque settings,Correct torque specification and add torque monitoring,Production,2023-03-23,2023-05-13,Completed,False
92,250,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2023-03-23,2023-05-22,Completed,False
93,253,Material fatigue under load,Switch to a higher grade material,Supplier Quality,2023-03-23,2023-06-07,Completed,False
94,257,Incorrect assembly sequence,Update work instructions and assembly sequence,Production,2023-03-26,2023-04-25,Completed,True
95,263,Material fatigue under load,Switch to a higher grade material,Supplier Quality,2023-03-27,2023-06-25,Completed,False
96,268,Software logic flaw,Release a software update,Design Engineering,2023-03-28,2023-08-15,Completed,False
97,269,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2023-03-30,2023-06-19,Completed,False
98,270,Software logic flaw,Release a software update,Design Engineering,2023-03-27,2023-08-15,Completed,False
99,276,Heat treatment deviation,Require heat treatment certificates from supplier,Supplier Quality,2023-04-02,2023-06-10,Completed,False
100,278,Assembly tool wear,Replace worn tools and add tool maintenance schedule,Quality Assurance,2023-04-04,2023-05-07,Completed,False
101,279,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2023-04-02,2023-05-09,Completed,True
102,281,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2023-03-31,2023-05-11,Completed,True
103,282,Root cause not identified,Extended monitoring and data collection,Quality Assurance,2023-03-29,2023-05-24,Completed,False
104,285,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2023-04-02,2023-05-06,Completed,False
105,286,Insufficient design margin,Raise design margin through an engineering change,Design Engineering,2023-04-06,2023-07-01,Completed,True
106,290,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2023-04-04,2023-06-30,Completed,False
107,292,Operator training gap,Retrain operators and add in-line inspection,Production,2023-04-07,2023-05-04,Completed,False
108,293,Heat treatment deviation,Require heat treatment certificates from supplier,Quality Assurance,2023-04-06,2023-05-16,Completed,False
109,295,Assembly tool wear,Replace worn tools and add tool maintenance schedule,Production,2023-04-02,2023-04-28,Completed,True
110,297,Tolerance stack-up in design,Revise tolerances in the design drawings,Design Engineering,2023-04-07,2023-07-06,Completed,True
111,302,Substandard raw material,Change material specification,Supplier Quality,2023-04-07,2023-06-21,Completed,False
112,306,Root cause not identified,Extended monitoring and data collection,Quality Assurance,2023-04-05,2023-05-30,Completed,False
113,310,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2023-04-14,2023-07-01,Completed,False
114,312,Substandard raw material,Change material specification,Quality Assurance,2023-04-11,2023-05-05,Completed,True
115,315,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2023-04-09,2023-07-07,Completed,True
116,321,Machine calibration drift,Recalibrate equipment and update process control plan,Production,2023-04-12,2023-05-03,Completed,True
117,325,Missing or unclear work instruction,Rewrite work instructions with photos,Production,2023-04-16,2023-05-22,Completed,False
118,333,Corrosion due to coating defect,Improve coating process and add corrosion test,Quality Assurance,2023-04-17,2023-05-22,Completed,True
119,336,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2023-04-16,2023-06-06,Completed,False
120,345,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2023-04-23,2023-06-06,Completed,False
121,346,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2023-04-20,2023-07-18,Completed,False
122,348,Substandard raw material,Change material specification,Quality Assurance,2023-04-21,2023-05-12,Completed,False
123,350,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2023-04-24,2023-07-19,Completed,False
124,351,Software logic flaw,Release a software update,Design Engineering,2023-04-24,2023-09-11,Completed,True
125,356,Missing or unclear work instruction,Rewrite work instructions with photos,Production,2023-04-24,2023-06-09,Completed,False
126,358,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2023-04-23,2023-05-23,Completed,False
127,359,Root cause not identified,Extended monitoring and data collection,Quality Assurance,2023-04-30,2023-06-22,Completed,False
128,360,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2023-04-30,2023-07-29,Completed,False
129,362,Substandard raw material,Change material specification,Supplier Quality,2023-04-25,2023-07-01,Completed,False
130,363,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2023-04-29,2023-06-22,Completed,True
131,364,Software logic flaw,Release a software update,Design Engineering,2023-04-26,2023-08-18,Completed,False
132,365,Software logic flaw,Release a software update,Quality Assurance,2023-04-26,2023-06-11,Completed,False
133,369,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2023-04-30,2023-06-09,Completed,False
134,371,Supplier material substitution,Audit the supplier and require approved materials,Quality Assurance,2023-04-26,2023-06-23,Completed,False
135,376,Machine calibration drift,Recalibrate equipment and update process control plan,Production,2023-04-29,2023-06-06,Completed,False
136,377,Incorrect assembly sequence,Update work instructions and assembly sequence,Production,2023-05-01,2023-05-28,Completed,False
137,378,Substandard raw material,Change material specification,Quality Assurance,2023-04-30,2023-06-16,Completed,False
138,379,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2023-05-07,2023-08-03,Completed,False
139,384,Operator training gap,Retrain operators and add in-line inspection,Production,2023-04-30,2023-06-03,Completed,False
140,386,Substandard raw material,Change material specification,Quality Assurance,2023-05-05,2023-05-30,Completed,False
141,387,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2023-05-06,2023-07-18,Completed,False
142,389,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2023-05-08,2023-07-11,Completed,False
143,390,Machine calibration drift,Recalibrate equipment and update process control plan,Production,2023-05-07,2023-07-05,Completed,False
144,393,Machine calibration drift,Recalibrate equipment and update process control plan,Quality Assurance,2023-05-13,2023-07-02,Completed,False
145,395,Incorrect assembly sequence,Update work instructions and assembly sequence,Production,2023-05-13,2023-06-07,Completed,False
146,399,Assembly tool wear,Replace worn tools and add tool maintenance schedule,Quality Assurance,2023-05-10,2023-06-04,Completed,False
147,400,Insufficient process control,Introduce statistical process control on the line,Production,2023-05-13,2023-07-04,Completed,False
148,402,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2023-05-09,2023-08-04,Completed,True
149,404,Missing or unclear work instruction,Rewrite work instructions with photos,Production,2023-05-14,2023-06-16,Completed,False
150,405,Material fatigue under load,Switch to a higher grade material,Quality Assurance,2023-05-17,2023-07-16,Completed,False
151,409,Software logic flaw,Release a software update,Design Engineering,2023-05-14,2023-10-07,Completed,False
152,410,Operator training gap,Retrain operators and add in-line inspection,Production,2023-05-13,2023-07-09,Completed,True
153,415,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2023-05-17,2023-07-16,Completed,True
154,416,Tolerance stack-up in design,Revise tolerances in the design drawings,Design Engineering,2023-05-16,2023-10-02,Completed,False
155,419,Corrosion due to coating defect,Improve coating process and add corrosion test,Supplier Quality,2023-05-21,2023-06-23,Completed,False
156,422,Operator training gap,Add poka-yoke check at the assembly station,Production,2023-05-27,2023-07-23,Completed,True
157,426,Software logic flaw,Release a software update,Design Engineering,2023-05-20,2023-10-04,Completed,True
158,428,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2023-05-23,2023-07-23,Completed,False
159,431,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2023-05-25,2023-08-19,Completed,True
160,432,Missing or unclear work instruction,Rewrite work instructions with photos,Production,2023-06-01,2023-07-10,Completed,False
161,433,Missing or unclear work instruction,Rewrite work instructions with photos,Production,2023-06-02,2023-07-11,Completed,False
162,437,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2023-05-26,2023-06-26,Completed,False
163,439,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2023-05-30,2023-07-28,Completed,False
164,442,Material fatigue under load,Switch to a higher grade material,Supplier Quality,2023-05-28,2023-07-18,Completed,False
165,447,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2023-06-03,2023-08-11,Completed,True
166,451,Material fatigue under load,Switch to a higher grade material,Supplier Quality,2023-06-05,2023-07-08,Completed,True
167,452,Heat treatment deviation,Require heat treatment certificates from supplier,Supplier Quality,2023-06-06,2023-07-06,Completed,False
168,455,Corrosion due to coating defect,Improve coating process and add corrosion test,Quality Assurance,2023-06-14,2023-07-24,Completed,False
169,464,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2023-06-09,2023-07-20,Completed,False
170,466,Incorrect assembly sequence,Update work instructions and assembly sequence,Production,2023-06-13,2023-07-18,Completed,False
171,467,Incorrect torque settings,Correct torque specification and add torque monitoring,Production,2023-06-09,2023-08-04,Completed,True
172,469,Operator training gap,Retrain operators and add in-line inspection,Production,2023-06-08,2023-08-04,Completed,False
173,470,Insufficient process control,Introduce statistical process control on the line,Production,2023-06-11,2023-06-26,Completed,False
174,471,Substandard raw material,Change material specification,Supplier Quality,2023-06-09,2023-08-31,Completed,False
175,472,Tolerance stack-up in design,Revise tolerances in the design drawings,Design Engineering,2023-06-11,2023-09-24,Completed,False
176,477,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2023-06-12,2023-09-09,Completed,True
177,481,Missing or unclear work instruction,Rewrite work instructions with photos,Production,2023-06-16,2023-08-09,Completed,False
178,482,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2023-06-12,2023-08-12,Completed,False
179,484,Insufficient process control,Introduce statistical process control on the line,Quality Assurance,2023-06-11,2023-07-11,Completed,False
180,486,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Quality Assurance,2023-06-12,2023-07-23,Completed,False
181,491,Heat treatment deviation,Require heat treatment certificates from supplier,Quality Assurance,2023-06-18,2023-07-17,Completed,False
182,494,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Quality Assurance,2023-06-17,2023-07-28,Completed,True
183,495,Material fatigue under load,Switch to a higher grade material,Supplier Quality,2023-06-15,2023-08-07,Completed,False
184,499,Software logic flaw,Release a software update,Design Engineering,2023-06-17,2023-09-23,Completed,False
185,503,Substandard raw material,Change material specification,Quality Assurance,2023-06-17,2023-08-16,Completed,True
186,505,Operator training gap,Retrain operators and add in-line inspection,Quality Assurance,2023-06-20,2023-07-25,Completed,False
187,506,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2023-06-21,2023-08-16,Completed,False
188,507,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2023-06-17,2023-08-31,Completed,True
189,509,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2023-06-21,2023-09-19,Completed,False
190,510,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2023-06-21,2023-08-11,Completed,False
191,511,Assembly tool wear,Replace worn tools and add tool maintenance schedule,Production,2023-06-18,2023-08-17,Completed,False
192,512,Operator training gap,Add poka-yoke check at the assembly station,Production,2023-06-23,2023-08-16,Completed,False
193,513,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2023-06-24,2023-08-22,Completed,False
194,514,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2023-06-24,2023-08-24,Completed,True
195,517,Incorrect torque settings,Correct torque specification and add torque monitoring,Quality Assurance,2023-06-25,2023-08-11,Completed,False
196,520,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2023-06-26,2023-09-10,Completed,False
197,522,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2023-06-25,2023-09-22,Completed,False
198,523,Incorrect assembly sequence,Update work instructions and assembly sequence,Production,2023-06-29,2023-07-26,Completed,True
199,525,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2023-06-25,2023-07-26,Completed,True
200,533,Software logic flaw,Release a software update,Quality Assurance,2023-06-27,2023-07-27,Completed,False
201,537,Operator training gap,Retrain operators and add in-line inspection,Production,2023-07-02,2023-07-24,Completed,False
202,544,Thermal design limitation,Redesign cooling and heat protection,Design Engineering,2023-07-01,2023-09-14,Completed,False
203,546,Substandard raw material,Change material specification,Supplier Quality,2023-07-04,2023-08-03,Completed,False
204,548,Operator training gap,Retrain operators and add in-line inspection,Quality Assurance,2023-06-29,2023-07-27,Completed,False
205,549,Operator training gap,Retrain operators and add in-line inspection,Production,2023-06-30,2023-08-24,Completed,False
206,550,Tolerance stack-up in design,Revise tolerances in the design drawings,Design Engineering,2023-07-02,2023-09-08,Completed,False
207,552,Incorrect torque settings,Correct torque specification and add torque monitoring,Production,2023-06-30,2023-08-03,Completed,False
208,554,Corrosion due to coating defect,Improve coating process and add corrosion test,Supplier Quality,2023-07-04,2023-08-06,Completed,False
209,560,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2023-07-05,2023-09-05,Completed,False
210,563,Insufficient process control,Introduce statistical process control on the line,Production,2023-07-08,2023-07-30,Completed,False
211,565,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2023-07-05,2023-09-26,Completed,False
212,567,Heat treatment deviation,Require heat treatment certificates from supplier,Quality Assurance,2023-07-09,2023-08-18,Completed,False
213,569,Machine calibration drift,Recalibrate equipment and update process control plan,Production,2023-07-09,2023-07-24,Completed,False
214,572,Heat treatment deviation,Require heat treatment certificates from supplier,Supplier Quality,2023-07-05,2023-09-25,Completed,False
215,577,Material fatigue under load,Switch to a higher grade material,Supplier Quality,2023-07-09,2023-09-08,Completed,False
216,584,Material fatigue under load,Switch to a higher grade material,Quality Assurance,2023-07-14,2023-08-10,Completed,False
217,585,Insufficient process control,Introduce statistical process control on the line,Production,2023-07-09,2023-08-12,Completed,False
218,586,Supplier material substitution,Audit the supplier and require approved materials,Quality Assurance,2023-07-13,2023-08-22,Completed,False
219,587,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2023-07-11,2023-10-04,Completed,True
220,588,Incorrect assembly sequence,Update work instructions and assembly sequence,Production,2023-07-15,2023-08-07,Completed,True
221,592,Supplier material substitution,Audit the supplier and require approved materials,Quality Assurance,2023-07-17,2023-08-27,Completed,False
222,595,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2023-07-10,2023-08-19,Completed,False
223,597,Machine calibration drift,Recalibrate equipment and update process control plan,Production,2023-07-17,2023-08-29,Completed,False
224,598,Incorrect assembly sequence,Update work instructions and assembly sequence,Production,2023-07-17,2023-09-03,Completed,False
225,600,Assembly tool wear,Replace worn tools and add tool maintenance schedule,Production,2023-07-15,2023-08-27,Completed,True
226,602,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2023-07-10,2023-09-25,Completed,True
227,603,Insufficient process control,Introduce statistical process control on the line,Production,2023-07-16,2023-08-02,Completed,False
228,604,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2023-07-14,2023-09-13,Completed,False
229,608,Incorrect torque settings,Correct torque specification and add torque monitoring,Production,2023-07-23,2023-09-20,Completed,False
230,609,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2023-07-16,2023-08-23,Completed,False
231,613,Supplier material substitution,Audit the supplier and require approved materials,Supplier Quality,2023-07-19,2023-09-03,Completed,False
232,618,Insufficient process control,Introduce statistical process control on the line,Production,2023-07-21,2023-08-26,Completed,True
233,621,Incorrect assembly sequence,Update work instructions and assembly sequence,Production,2023-07-20,2023-08-17,Completed,False
234,623,Operator training gap,Retrain operators and add in-line inspection,Production,2023-07-18,2023-08-09,Completed,False
235,624,Operator training gap,Retrain operators and add in-line inspection,Quality Assurance,2023-07-22,2023-09-13,Completed,False
236,625,Operator training gap,Add poka-yoke check at the assembly station,Production,2023-07-20,2023-09-02,Completed,False
237,630,Operator training gap,Retrain operators and add in-line inspection,Production,2023-07-21,2023-08-23,Completed,False
238,631,Substandard raw material,Change material specification,Supplier Quality,2023-07-19,2023-10-04,Completed,False
239,634,Assembly tool wear,Replace worn tools and add tool maintenance schedule,Production,2023-07-27,2023-09-24,Completed,False
240,635,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Quality Assurance,2023-07-27,2023-08-19,Completed,True
241,637,Tolerance stack-up in design,Revise tolerances in the design drawings,Quality Assurance,2023-07-30,2023-09-02,Completed,False
242,638,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Supplier Quality,2023-07-27,2023-10-06,Completed,False
243,639,Root cause not identified,Extended monitoring and data collection,Quality Assurance,2023-07-23,2023-08-22,Completed,False
244,640,Software logic flaw,Release a software update,Quality Assurance,2023-07-25,2023-08-24,Completed,False
245,641,Supplier process deviation,Issue supplier corrective action request (SCAR),Supplier Quality,2023-07-26,2023-09-28,Completed,True
246,643,Missing or unclear work instruction,Rewrite work instructions with photos,Production,2023-07-26,2023-09-14,Completed,False
247,645,Supplier material substitution,Audit the supplier and require approved materials,Quality Assurance,2023-07-28,2023-09-05,Completed,False
248,651,Insufficient process control,Introduce statistical process control on the line,Production,2023-07-27,2023-08-24,Completed,False
249,652,Operator training gap,Retrain operators and add in-line inspection,Production,2023-07-30,2023-08-24,Completed,False
250,656,Non-approved modification,Add warning about modifications to warranty terms,Customer Service,2023-07-29,2023-08-08,Completed,False
251,658,Inadequate supplier quality inspection,Tighten incoming inspection for supplier parts,Supplier Quality,2023-08-03,2023-10-02,Completed,True
252,661,Intermittent fault not reproducible,Collect field data and repeat diagnostics,Quality Assurance,2023-08-01,2023-09-26,Completed,False
253,665,Out-of-tolerance component batch,Quarantine affected batch and replace parts,Quality Assurance,2023-08-06,2023-09-20,Completed,False
254,668,Corrosion due to coating defect,Improve coating process and add corrosion test,Supplier Quality,2023-08-01,2023-10-05,Completed,False
